gene_label,ct_label,as_label,avg_mean_gene_expr,as,ct,gene
ATP1B1,kidney connecting tubule epithelial cell,renal connecting tubule,1.984922,http://purl.obolibrary.org/obo/UBERON_0005097,http://purl.obolibrary.org/obo/CL_1000768,http://identifiers.org/hgnc/804
ATP6V0A4,kidney collecting duct intercalated cell,collecting duct of renal tubule,1.732657,http://purl.obolibrary.org/obo/UBERON_0001232,http://purl.obolibrary.org/obo/CL_1001432,http://identifiers.org/hgnc/866
ATP6V0D2,kidney collecting duct intercalated cell,collecting duct of renal tubule,1.6326,http://purl.obolibrary.org/obo/UBERON_0001232,http://purl.obolibrary.org/obo/CL_1001432,http://identifiers.org/hgnc/18266
ATP6V1C2,kidney collecting duct intercalated cell,collecting duct of renal tubule,1.446644,http://purl.obolibrary.org/obo/UBERON_0001232,http://purl.obolibrary.org/obo/CL_1001432,http://identifiers.org/hgnc/18264
B2M,neutrophil,kidney capsule,3.003576,http://purl.obolibrary.org/obo/UBERON_0002015,http://purl.obolibrary.org/obo/CL_0000775,http://identifiers.org/hgnc/914
B2M,neutrophil,kidney,3.003576,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/CL_0000775,http://identifiers.org/hgnc/914
B2M,neutrophil,kidney pyramid,3.003576,http://purl.obolibrary.org/obo/UBERON_0004200,http://purl.obolibrary.org/obo/CL_0000775,http://identifiers.org/hgnc/914
B2M,neutrophil,kidney interstitium,3.003576,http://purl.obolibrary.org/obo/UBERON_0005215,http://purl.obolibrary.org/obo/CL_0000775,http://identifiers.org/hgnc/914
B2M,neutrophil,renal column,3.003576,http://purl.obolibrary.org/obo/UBERON_0001284,http://purl.obolibrary.org/obo/CL_0000775,http://identifiers.org/hgnc/914
B2M,neutrophil,outer cortex of kidney,3.003576,http://purl.obolibrary.org/obo/UBERON_0002189,http://purl.obolibrary.org/obo/CL_0000775,http://identifiers.org/hgnc/914
BARX2,kidney connecting tubule epithelial cell,renal papilla,0.181335,http://purl.obolibrary.org/obo/UBERON_0001228,http://purl.obolibrary.org/obo/CL_1000768,http://identifiers.org/hgnc/956
BARX2,kidney connecting tubule epithelial cell,kidney capsule,0.181335,http://purl.obolibrary.org/obo/UBERON_0002015,http://purl.obolibrary.org/obo/CL_1000768,http://identifiers.org/hgnc/956
BARX2,kidney connecting tubule epithelial cell,kidney,0.181335,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/CL_1000768,http://identifiers.org/hgnc/956
BARX2,kidney connecting tubule epithelial cell,kidney pyramid,0.181335,http://purl.obolibrary.org/obo/UBERON_0004200,http://purl.obolibrary.org/obo/CL_1000768,http://identifiers.org/hgnc/956
BARX2,kidney connecting tubule epithelial cell,renal column,0.181335,http://purl.obolibrary.org/obo/UBERON_0001284,http://purl.obolibrary.org/obo/CL_1000768,http://identifiers.org/hgnc/956
BARX2,kidney connecting tubule epithelial cell,outer cortex of kidney,0.181335,http://purl.obolibrary.org/obo/UBERON_0002189,http://purl.obolibrary.org/obo/CL_1000768,http://identifiers.org/hgnc/956
BARX2,kidney connecting tubule epithelial cell,renal connecting tubule,0.181335,http://purl.obolibrary.org/obo/UBERON_0005097,http://purl.obolibrary.org/obo/CL_1000768,http://identifiers.org/hgnc/956
BCL11B,T cell,renal papilla,1.232264,http://purl.obolibrary.org/obo/UBERON_0001228,http://purl.obolibrary.org/obo/CL_0000084,http://identifiers.org/hgnc/13222
BCL11B,T cell,kidney capsule,1.232264,http://purl.obolibrary.org/obo/UBERON_0002015,http://purl.obolibrary.org/obo/CL_0000084,http://identifiers.org/hgnc/13222
BCL11B,T cell,kidney,1.232264,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/CL_0000084,http://identifiers.org/hgnc/13222
BCL11B,T cell,kidney pyramid,1.232264,http://purl.obolibrary.org/obo/UBERON_0004200,http://purl.obolibrary.org/obo/CL_0000084,http://identifiers.org/hgnc/13222
BCL11B,T cell,kidney interstitium,1.232264,http://purl.obolibrary.org/obo/UBERON_0005215,http://purl.obolibrary.org/obo/CL_0000084,http://identifiers.org/hgnc/13222
BCL11B,T cell,renal column,1.232264,http://purl.obolibrary.org/obo/UBERON_0001284,http://purl.obolibrary.org/obo/CL_0000084,http://identifiers.org/hgnc/13222
BCL11B,T cell,outer cortex of kidney,1.232264,http://purl.obolibrary.org/obo/UBERON_0002189,http://purl.obolibrary.org/obo/CL_0000084,http://identifiers.org/hgnc/13222
BICD1,parietal epithelial cell,renal papilla,0.984364,http://purl.obolibrary.org/obo/UBERON_0001228,http://purl.obolibrary.org/obo/CL_1000452,http://identifiers.org/hgnc/1049
BICD1,parietal epithelial cell,kidney capsule,0.984364,http://purl.obolibrary.org/obo/UBERON_0002015,http://purl.obolibrary.org/obo/CL_1000452,http://identifiers.org/hgnc/1049
BICD1,parietal epithelial cell,kidney,0.984364,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/CL_1000452,http://identifiers.org/hgnc/1049
BICD1,parietal epithelial cell,kidney pyramid,0.984364,http://purl.obolibrary.org/obo/UBERON_0004200,http://purl.obolibrary.org/obo/CL_1000452,http://identifiers.org/hgnc/1049
BICD1,parietal epithelial cell,renal column,0.984364,http://purl.obolibrary.org/obo/UBERON_0001284,http://purl.obolibrary.org/obo/CL_1000452,http://identifiers.org/hgnc/1049
BICD1,parietal epithelial cell,outer cortex of kidney,0.984364,http://purl.obolibrary.org/obo/UBERON_0002189,http://purl.obolibrary.org/obo/CL_1000452,http://identifiers.org/hgnc/1049
BICD1,parietal epithelial cell,glomerular parietal epithelium,0.984364,http://purl.obolibrary.org/obo/UBERON_0005750,http://purl.obolibrary.org/obo/CL_1000452,http://identifiers.org/hgnc/1049
BMP2K,mast cell,kidney pyramid,0.967442,http://purl.obolibrary.org/obo/UBERON_0004200,http://purl.obolibrary.org/obo/CL_0000097,http://identifiers.org/hgnc/18041
BMP2K,mast cell,kidney interstitium,0.967442,http://purl.obolibrary.org/obo/UBERON_0005215,http://purl.obolibrary.org/obo/CL_0000097,http://identifiers.org/hgnc/18041
BMP2K,mast cell,renal column,0.967442,http://purl.obolibrary.org/obo/UBERON_0001284,http://purl.obolibrary.org/obo/CL_0000097,http://identifiers.org/hgnc/18041
BMP2K,mast cell,outer cortex of kidney,0.967442,http://purl.obolibrary.org/obo/UBERON_0002189,http://purl.obolibrary.org/obo/CL_0000097,http://identifiers.org/hgnc/18041
BMP2K,mast cell,renal papilla,0.967442,http://purl.obolibrary.org/obo/UBERON_0001228,http://purl.obolibrary.org/obo/CL_0000097,http://identifiers.org/hgnc/18041
BMP2K,mast cell,kidney capsule,0.967442,http://purl.obolibrary.org/obo/UBERON_0002015,http://purl.obolibrary.org/obo/CL_0000097,http://identifiers.org/hgnc/18041
BMP2K,mast cell,kidney,0.967442,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/CL_0000097,http://identifiers.org/hgnc/18041
BMPR1B,kidney collecting duct principal cell,collecting duct of renal tubule,0.605748,http://purl.obolibrary.org/obo/UBERON_0001232,http://purl.obolibrary.org/obo/CL_1001431,http://identifiers.org/hgnc/1077
