leiden_sub,cell_id,cell_label,evidence,table,table_count,references,shared_markers,asctb_markers
"3,0",PCL:0051247,MGE_246 sst GABAergic cortical interneuron (Hsap),1,allen-brain,1,https://doi.org/10.1101/2022.10.12.511898,MAF,MAF; LINC02008; SST
"3,1",CL:0009018,lymphocyte of large intestine lamina propria,33,large-intestine,1,https://doi.org/10.1007/978-1-4939-0897-4_3; https://doi.org/10.1016/j.immuni.2020.02.001,ITGAX,CD7; NCAM1; KLRK1; ITGAX; B3GAT1
"3,1",CL:0000451,dendritic cell,30,large-intestine; lymph-node; fallopian-tube,3,https://doi.org/10.1053/j.semdp.2017.11.002; https://doi.org/10.1016/S0002-94401061694-X; https://doi.org/10.1016/S0002-94401061680-X; https://doi.org/10.1007/978-1-4939-0897-4_3; https://doi.org/10.1016/j.immuni.2020.02.001; https://doi.org/10.1016/j.celrep.2021.108978,ITGAX,CD274; ICAM1; HLA-DRA; CD83; S100A12; CD86; CD80; CD40; IL3RA; LYZ; CD74; ITGAX
"3,1",CL:0001058,"plasmacytoid dendritic cell, human",6,spleen; blood-pelvis; bone-marrow; lymph-node,4,https://doi.org/10.4049/jimmunol.1002632; https://doi.org/10.1186/s13059-019-1906-x; https://doi.org/10.1097/pap.0b013e3181bb6bc2; https://doi.org/10.1016/S0002-94401061694-X; https://doi.org/10.1111/imm.12469; https://doi.org/10.1111/bjh.14467,ITGAX,NRP1; PTPRC; TCF4; CLEC4C; CD14; CD19; IL3RA; CD3E; HLA-DRA; FCGR3A; GZMB; SIGLEC6; JCHAIN; SERPINF1; ITGAX; AXL; NCAM1
"3,1",CL:0002399,CD1c-positive myeloid dendritic cell,5,blood-pelvis; spleen; lymph-node,3,https://doi.org/10.1038/s41423-020-0511-y; https://doi.org/10.1186/s13059-019-1906-x; https://doi.org/10.1016/j.immuni.2017.02.019; https://doi.org/10.1016/S0002-94401061694-X; https://doi.org/10.4049/jimmunol.1002632; https://doi.org/10.1002/cyto.a.23724; https://doi.org/10.1016/j.immuni.2017.04.019,ITGAX,SIRPA; CD74; CD86; CD36; S100A9; NCAM1; ITGAX; CD19; FCGR2B; FCGR3A; IL3RA; CD14; CD1C; S100A8; CD3E; HLA-DPB1; HLA-DRA; CD163; CLEC10A; HLA-DQA2; THBD; FCER1A
"3,1",CL:0000990,conventional dendritic cell,4,kidney; bone-marrow; spleen,3,https://doi.org/10.4049/jimmunol.1002632; https://doi.org/10.1084/jem.20030323; https://doi.org/10.1101/2021.07.28.454201; https://doi.org/10.1126/science.aat5031; https://doi.org/10.1016/j.immuni.2017.04.019; https://doi.org/10.3109/10428194.2013.781167,ITGAX,FLT3; HLA-DPB1; FCGR2B; CLEC10A; IL3RA; CADM1; CD19; FCGR3A; ITGAX; NCAM1; FCER1A; CLEC9A; THBD; HLA-DQA2; XCR1; CD1C; CD14; CD3E; HLA-DRA
"3,1",CL:0000235,macrophage,4,lymph-node,1,https://doi.org/10.1097/01.pas.0000157940.80538.ec; https://doi.org/10.1053/j.semdp.2017.11.002; https://doi.org/10.1182/blood-2008-06-165266; https://doi.org/10.1182/blood.v97.1.288; https://doi.org/10.1111/cas.13137,ITGAX,CD163; MRC1; CD209; ITGAX; CD68; CD4; HLA-DRA; ITGAM; CD14; MARCO; SIGLEC1
"3,1",CL:0002394,CD141-positive myeloid dendritic cell,4,blood-pelvis; spleen; lymph-node,3,https://doi.org/10.4049/jimmunol.1002632; https://doi.org/10.1046/j.1365-2567.1997.00328.x; https://doi.org/10.1186/s13059-019-1906-x; https://doi.org/10.1016/j.immuni.2017.02.019; https://doi.org/10.1016/S0002-94401061694-X; https://doi.org/10.3109/10428194.2013.781167,ITGAX,IDO1; CD74; ANPEP; CADM1; CD19; FCGR3A; IL3RA; XCR1; BATF3; CD1C; CD14; CD3E; HLA-DRA; THBD; CLEC9A; ITGAX; NCAM1
"3,1",ASCTB-TEMP:dec205-dc,DEC205+ DC,3,spleen,1,https://doi.org/10.1111/j.1365-2567.2007.02710.x,ITGAX,LY75; ITGAX; CD74
"3,1",CL:4033064,uterine resident macrophage,3,placenta,1,https://doi.org/10.1371/journal.pone.0002078; https://doi.org/10.1038/s41423-018-0008-0; https://doi.org/10.1053/plac.2000.0559,ITGAX,MRC1; CD68; ITGAX; CD209
"3,1",CL:0000866,thymic macrophage,3,thymus,1,https://doi.org/10.1016/j.imbio.2008.07.032; https://doi.org/10.1016/s0065-2776(08)60900-1; https://doi.org/10.1016/j.imbio.2008.07.032.; https://doi.org/10.1126/science.aay3224,ITGAX,LGMN; LYZ; ITGAX; ICAM1; MS4A7; CD68; SELENOP; SLC40A1; C1QB; C1QA; ITGAM; C1QC; CD163; RNASE1; CD209; APOE; STAB1
"3,1",CL:0001056,"dendritic cell, human",3,liver; bone-marrow; spleen,3,https://doi.org/10.55418/9781933477060.; https://doi.org/10.1111/imm.12888; https://doi.org/10.1002/cyto.a.23724,ITGAX,FLT3; FCGR1A; ADGRE1; CSF1R; CD74; NCAM1; ITGAX; IL3RA; S100A9; S100A8; CD3E; HLA-DRA; CLEC4C; CLEC10A; CD163; CD19; FCGR3A; CD14; CD1C; CD36; FCER1A
"3,1",CL:0000942,thymic plasmacytoid dendritic cell,2,thymus,1,https://doi.org/10.1172/JCI11734; https://doi.org/10.1126/science.aay3224; https://doi.org/10.1182/blood-2008-11-187633; https://doi.org/10.1172/JCI11734.,ITGAX,ANPEP; CD33; LILRA4; CCDC50; PSMB11; ITGAX; PTPRC; PLAC8; PLD4; IL3RA; UGCG; GZMB; IRF8; IRF7; JCHAIN; CLEC4C
"3,1",CL:0002460,CD8-alpha-negative thymic conventional dendritic cell,2,thymus,1,https://doi.org/10.1172/JCI11734; https://doi.org/10.1038/cti.2015.21; https://doi.org/10.1126/science.aay3224,ITGAX,MNDA; LGALS2; ITGAX; XCR1; CD1C; CD33; HLA-DQB1; THBD; ALDH2; SIRPA; ITGAM; CD4; PTPRC; CLEC10A; GSN; HLA-DQA1; CD83; JAML; CTSH
"3,1",CL:0002059,CD8-alpha-positive thymic conventional dendritic cell,2,thymus,1,https://doi.org/10.1172/JCI11734; https://doi.org/10.1038/cti.2015.21; https://doi.org/10.1126/science.aay3224,ITGAX,PTPRC; ITGAX; LYZ; LGALS2; CPVL; SIRPA; ITGAM; XCR1; CD33; BATF3; IRF8; C1orf54; CD4; DNASE1L3; CD83; RGCC; HLA-DPA1; THBD; CLEC9A
"3,1",ASCTB-TEMP:subcapsular-dendritic-cell,Subcapsular Dendritic Cell,1,spleen,1,https://doi.org/10.1111/j.1365-2249.2008.03734.x,ITGAX,ITGAX; IL3RA; CD83
"3,1",CL:0000882,thymic medullary macrophage,1,thymus,1,https://doi.org/10.1016/s0065-2776(08)60900-1; https://doi.org/10.1016/j.imbio.2008.07.032; https://doi.org/10.1126/science.aay3224,ITGAX,LGMN; LYZ; ITGAX; ICAM1; MS4A7; CD68; SELENOP; SLC40A1; C1QB; C1QA; ITGAM; C1QC; CD163; RNASE1; CD209; APOE; STAB1
